# of domain, cohortId1, cohortId2, cohort diff
0 , 315 , 315 , 0
1 , 315 , 315 , 0
2 , 315 , 315 , 0
3 , 315 , 315 , 0
4 , 315 , 315 , 0
5 , 315 , 315 , 0
6 , 315 , 315 , 0
7 , 315 , 315 , 0
8 , 315 , 315 , 0
9 , 315 , 315 , 0
10 , 315 , 315 , 0
11 , 315 , 315 , 0
12 , 315 , 315 , 0
13 , 315 , 315 , 0
14 , 315 , 315 , 0
15 , 315 , 315 , 0
16 , 315 , 315 , 0
17 , 315 , 315 , 0
18 , 315 , 315 , 0
19 , 315 , 315 , 0
20 , 315 , 315 , 0
21 , 315 , 315 , 0
22 , 315 , 315 , 0
23 , 315 , 315 , 0
24 , 315 , 315 , 0
25 , 315 , 315 , 0
26 , 315 , 315 , 0
27 , 315 , 315 , 0
28 , 315 , 315 , 0
29 , 315 , 315 , 0
30 , 315 , 315 , 0
31 , 315 , 315 , 0
32 , 315 , 315 , 0
33 , 315 , 315 , 0
34 , 315 , 315 , 0
35 , 315 , 315 , 0
36 , 315 , 315 , 0
37 , 315 , 315 , 0
38 , 315 , 315 , 0
39 , 315 , 315 , 0
40 , 315 , 315 , 0
41 , 315 , 315 , 0
42 , 315 , 315 , 0
43 , 315 , 315 , 0
44 , 315 , 315 , 0
45 , 315 , 315 , 0
46 , 315 , 315 , 0
47 , 315 , 315 , 0
48 , 315 , 315 , 0
49 , 315 , 315 , 0
50 , 315 , 315 , 0
51 , 315 , 315 , 0
52 , 315 , 315 , 0
53 , 315 , 315 , 0
54 , 315 , 315 , 0
55 , 315 , 315 , 0
56 , 315 , 315 , 0
57 , 315 , 315 , 0
58 , 315 , 315 , 0
59 , 315 , 315 , 0
60 , 315 , 315 , 0
61 , 315 , 315 , 0
62 , 315 , 315 , 0
63 , 315 , 315 , 0
64 , 315 , 315 , 0
65 , 315 , 315 , 0
66 , 315 , 315 , 0
67 , 315 , 315 , 0
68 , 315 , 315 , 0
69 , 315 , 315 , 0
70 , 315 , 315 , 0
71 , 315 , 315 , 0
72 , 315 , 315 , 0
73 , 315 , 315 , 0
74 , 315 , 315 , 0
75 , 315 , 315 , 0
76 , 315 , 315 , 0
